xcordadjusted,shotplaycontinuedinzone,lasteventycord_adjusted,awayteamcode,xplaycontinuedinzone,shootingteamaveragetimeoniceofdefencemensincefaceoff,hometeamcode,shotplaycontinuedoutsidezone,id,shootingteamdefencemenonice,lasteventycord,shootingteammintimeoniceofforwardssincefaceoff,averagerestdifference,shootingteammaxtimeonice,defendingteamdefencemenonice,shotdistance,defendingteamaveragetimeonicesincefaceoff,shootingteammaxtimeoniceofdefencemen,shootingteamaveragetimeonicesincefaceoff,shottype,shotonemptynet,timeuntilnextevent,event,defendingteamforwardsonice,period,awayteamgoals,shootingteammaxtimeoniceofforwards,defendingteammintimeoniceofforwardssincefaceoff,shotgoaliefroze,defendingteammintimeonicesincefaceoff,shootertimeonicesincefaceoff,homepenalty1timeleft,defendingteammintimeoniceofforwards,distancefromlastevent,defendingteammaxtimeoniceofforwards,lasteventteam,defendingteammaxtimeonice,shootingteammintimeoniceofforwards,shotgeneratedrebound,offwing,xshotwasongoal,shotplaystopped,shotangleplusrebound,lasteventcategory,defendingteamaveragetimeoniceofdefencemen,homepenalty1length,game_id,playernumthatdidevent,time,season,awayskatersonice,defendingteamaveragetimeoniceofforwards,xgoal,shooterplayerid,shootingteamaveragetimeonice,defendingteamaveragetimeoniceofforwardssincefaceoff,shootingteammintimeoniceofdefencemen,shotrush,arenaadjustedxcord,shootingteammintimeoniceofdefencemensincefaceoff,hometeamgoals,shotangle,shootingteammintimeonice,shootingteammaxtimeonicesincefaceoff,ycordadjusted,shotwasongoal,shootingteamaveragetimeoniceofdefencemen,shootingteammaxtimeoniceofforwardssincefaceoff,awayemptynet,defendingteammintimeoniceofdefencemen,xfroze,lasteventxcord_adjusted,defendingteammaxtimeoniceofdefencemen,team,shootingteammaxtimeoniceofdefencemensincefaceoff,xplaycontinuedoutsidezone,shootingteamforwardsonice,playernumthatdidlastevent,arenaadjustedshotdistance,shotrebound,location,lasteventshotangle,shootingteamaveragetimeoniceofforwards,shotangleplusreboundspeed,teamcode,awaypenalty1length,awaypenalty1timeleft,xrebound,homeskatersonice,goal,shotanglereboundroyalroad,shooterleftright,shootertimeonice,defendingteammaxtimeoniceofdefencemensincefaceoff,defendingteammaxtimeoniceofforwardssincefaceoff,isplayoffgame,speedfromlastevent,goalienameforshot,ishometeam,timedifferencesincechange,shootername,xcord,timesincelastevent,shotangleadjusted,defendingteammintimeonice,arenaadjustedxcordabs,lasteventxcord,defendingteammintimeoniceofdefencemensincefaceoff,shootingteamaveragetimeoniceofforwardssincefaceoff,ycord,defendingteamaveragetimeoniceofdefencemensincefaceoff,defendingteamaveragetimeonice,shootingteammintimeonicesincefaceoff,shotid,xplaystopped,homeemptynet,hometeamwon,timesincefaceoff,goalieidforshot,playerpositionthatdidevent,arenaadjustedycord,defendingteammaxtimeonicesincefaceoff,arenaadjustedycordabs,lasteventshotdistance,game_id2
54,0,38,DAL,0.413192,24.0,NSH,1.0,209,2,38,24,-3.8,24,2,37.3363094052,27.8,24,24.0,SLAP,0,28.0,SHOT,3,3,1,24,24,0,7,24,0,24,83.4086326467,24,HOME,60,24,0,0,0.681607,0,0.0,TAKE,33.5,0,20832,10,2858,2018,5,24.0,0.0482937,8476925.0,24.0,24.0,24,0,52.0,24,1,-20.3764352138,24,24,-13,1.0,24.0,24,0,7,0.151552,-12,60,HOME,24,0.324819,3,0,39.0,0,AWAYZONE,0.0,24.0,0.0,NSH,0,0,0.0411066,5,0,0,R,24,60,24,0,2.97887973738,Anton Khudobin,1.0,17,Colton Sissons,54,28,20.3764352138,7,52.0,-12,7,24.0,-13,33.5,27.8,24,620637,0.0210359,0,1,60,8471418.0,C,-14.0,60,14.0,0.0,2018020832
86,0,9,MTL,0.372382,23.0,CBJ,1.0,167,2,-9,23,0.0,39,2,5.83095189485,23.0,26,23.0,SNAP,0,7.0,SHOT,3,2,2,39,23,0,23,23,0,38,16.6433169771,40,HOME,40,35,0,1,0.901301,0,0.0,BLOCK,39.0,0,20355,27,1793,2024,5,39.0,0.116958,8479944.0,32.4,23.0,25,0,-86.0,23,2,-59.0362434679,25,23,-5,1.0,25.5,23,0,39,0.166826,77,39,HOME,23,0.252679,3,0,5.83095189485,0,AWAYZONE,0.0,37.0,0.0,CBJ,0,0,0.0714202,5,0,0,L,37,23,23,0,1.04020731107,Cayden Primeau,1.0,0,Zachary Aston-Reese,-86,16,59.0362434679,38,86.0,-77,23,23.0,5,23.0,39.0,23,30153,0.0197348,0,0,23,8480051.0,C,5.0,23,5.0,0.0,2024020355
65,1,-17,ANA,0.384148,47.0,L.A,0.0,212,2,-17,47,6.4,47,2,24.1867732449,40.6,47,47.0,SNAP,0,9.0,SHOT,3,2,1,47,46,0,27,47,0,46,161.607549329,57,HOME,57,47,0,0,0.72391,0,0.0,HIT,27.0,0,20222,8,2220,2018,5,49.6666666667,0.13518,8474563.0,47.0,49.6666666667,47,0,64.0,47,3,-7.1250163489,47,47,-3,1.0,47.0,47,0,27,0.113351,-96,27,HOME,47,0.302395,3,0,25.0,0,AWAYZONE,0.0,47.0,0.0,L.A,0,0,0.0427785,5,0,0,R,47,27,57,0,2.2761626666,John Gibson,1.0,20,Drew Doughty,65,71,7.1250163489,27,64.0,-96,27,47.0,-3,27.0,40.6,47,568117,0.0221474,0,1,179,8476434.0,D,-3.0,57,3.0,0.0,2018020222
34,0,-14,DET,0.422239,59.0,SEA,1.0,40,1,14,52,-2.65,59,2,55.0090901579,58.25,59,55.6,WRIST,0,35.0,SHOT,2,1,1,56,58,0,58,59,9,58,34.5398320783,59,AWAY,59,52,0,1,0.662904,0,0.0,BLOCK,58.0,120,20857,56,525,2024,5,58.5,0.00724663,8476979.0,55.6,58.5,59,0,-34.0,59,0,-1.04162667601,52,59,-1,1.0,59.0,56,0,58,0.194675,66,58,AWAY,59,0.260938,4,0,55.0,0,HOMEZONE,0.0,54.75,0.0,DET,0,0,0.0961201,4,0,0,L,59,58,59,0,6.90796641567,Joey Daccord,0.0,-6,Erik Gustafsson,-34,5,1.04162667601,58,34.0,-66,58,54.75,1,58.0,58.25,52,72829,0.0187811,0,0,111,8478916.0,D,1.0,59,1.0,0.0,2024020857
40,0,-6,LAK,0.435033,1.5,SJS,1.0,29,2,6,6,-4.4,15,2,49.010203019399995,11.2,2,6.8,WRIST,0,29.0,SHOT,3,1,0,15,10,0,10,15,0,10,31.7804971641,13,AWAY,13,6,0,0,0.685303,0,19.6040881508,MISS,11.0,0,20494,12,352,2023,5,11.3333333333,0.0161169,8479675.0,6.8,11.3333333333,1,0,-40.0,1,0,1.1691393279100002,1,15,1,1.0,1.5,15,0,10,0.224369,71,12,AWAY,2,0.262277,3,61,49.010203019399995,0,HOMEZONE,-18.4349488229,10.3333333333,0.891094915947,LAK,0,0,0.0387563,5,0,1,L,15,12,13,0,1.44456805292,Kaapo Kahkonen,0.0,-9,Trevor Moore,-40,22,1.1691393279100002,10,40.0,-71,10,10.3333333333,-1,11.0,11.2,1,43343,0.0234484,0,0,90,8478039.0,L,-1.0,13,1.0,18.973665961,2023020494
75,0,0,PIT,0.307918,32.0,MTL,1.0,368,1,0,32,0.0,32,1,14.142135623699998,32.0,32,32.0,WRIST,0,15.0,SHOT,2,4,3,32,32,0,32,32,0,32,75.0266619276,32,HOME,32,32,0,0,0.838717,0,0.0,FAC,32.0,0,20062,87,3632,2018,3,32.0,0.1436849999999999,8471675.0,32.0,32.0,32,0,-74.0,32,3,8.13010235416,32,32,2,1.0,32.0,32,0,32,0.0906413,0,32,AWAY,32,0.365976,2,0,15.0,0,HOMEZONE,0.0,32.0,0.0,PIT,0,0,0.0736236,3,0,0,L,32,32,32,0,2.3445831852400003,Antti Niemi,0.0,0,Sidney Crosby,-75,32,8.13010235416,32,74.0,0,32,32.0,-2,32.0,32.0,32,554167,0.0181558,0,1,32,8474550.0,C,-2.0,32,2.0,0.0,2018020062
40,1,-22,N.J,0.461525,16.0,CGY,0.0,64,2,22,16,0.0,29,2,55.9464029228,16.0,29,16.0,WRIST,0,6.0,MISS,3,1,0,16,16,0,16,16,0,16,29.4278779391,16,HOME,16,16,0,0,0.65059,0,0.0,FAC,16.0,0,21078,4,629,2018,5,16.0,0.00727056,8478397.0,21.2,16.0,29,0,-39.0,16,1,-28.855661219699996,16,16,-27,0.0,29.0,16,0,16,0.18897,69,16,HOME,16,0.285703,3,0,57.0,0,AWAYZONE,0.0,16.0,0.0,CGY,0,0,0.0370514,5,0,0,R,29,16,16,0,1.8392423712,Mackenzie Blackwood,1.0,0,Rasmus Andersson,-40,16,28.855661219699996,16,39.0,-69,16,16.0,27,16.0,16.0,16,641959,0.0194802,0,1,16,8478406.0,D,28.0,16,28.0,0.0,2018021078
64,0,28,BOS,0.361526,33.0,DET,0.0,154,2,-28,12,12.2,59,2,36.7967389859,21.8,33,34.0,SNAP,0,0.0,GOAL,3,2,0,59,19,0,19,12,0,19,33.0151480384,33,AWAY,33,12,0,0,0.793126,0,0.0,HIT,19.0,0,20817,52,1931,2017,5,23.6666666667,0.0182122,8476374.0,34.0,23.6666666667,33,0,-63.0,33,1,47.202598161800005,12,59,27,1.0,33.0,59,0,19,0.23427,97,19,AWAY,33,0.337598,3,0,39.0,0,HOMEZONE,0.0,34.6666666667,0.0,BOS,0,0,0.0279344,5,1,0,L,12,19,33,0,1.1005049346100002,Jimmy Howard,0.0,-7,Sean Kuraly,-64,30,47.202598161800005,19,63.0,-97,19,34.6666666667,-27,19.0,21.8,12,1792378,0.0204597,0,0,123,8470657.0,C,-29.0,33,29.0,0.0,2017020817
39,0,11,DAL,0.503638,35.0,NSH,0.0,271,1,11,35,2.0,54,2,51.4198405287,33.0,54,35.0,WRIST,0,0.0,SHOT,2,3,4,45,27,1,27,35,0,27,26.0192236625,57,HOME,57,35,0,0,0.644141,0,0.0,BLOCK,46.0,0,20505,59,3075,2019,4,42.0,0.0317204,8474600.0,40.8,31.0,54,0,38.0,35,1,13.4957332808,35,35,12,1.0,54.0,35,0,35,0.158636,65,57,HOME,35,0.222753,4,0,52.0,0,AWAYZONE,0.0,37.5,0.0,NSH,120,85,0.066575,5,0,0,L,54,35,35,0,1.85851597589,Anton Khudobin,1.0,8,Roman Josi,39,14,13.4957332808,27,38.0,65,35,35.0,12,35.0,44.0,35,487853,0.0166777,0,0,35,8471418.0,D,12.0,35,12.0,0.0,2019020505
83,0,-22,DET,0.323165,27.0,NSH,1.0,140,2,-22,27,0.0,27,2,6.32455532034,27.0,27,27.0,TIP,0,14.0,MISS,3,2,0,27,27,0,27,27,0,27,66.0984114786,27,AWAY,27,27,0,0,0.8443860000000001,0,0.0,FAC,27.0,0,21116,57,1473,2023,5,27.0,0.196597,8474102.0,27.0,27.0,27,0,83.0,27,0,-18.4349488229,27,27,-2,0.0,27.0,27,0,27,0.14463,20,27,AWAY,27,0.243834,3,0,6.32455532034,0,HOMEZONE,0.0,27.0,0.0,DET,0,0,0.0726281,5,0,0,R,27,27,27,0,2.44808931402,Juuse Saros,0.0,0,David Perron,83,27,18.4349488229,27,83.0,20,27,27.0,-2,27.0,27.0,27,97736,0.0191459,0,1,27,8477424.0,L,-2.0,27,2.0,0.0,2023021116
